DFT, Frequency Response Magnitude
Numpoints, 65536
SamplingRate(Hz), 96000.000000
Frequency(Hz), Magnitude(dB)
638.672, 125.4155
639.404, 125.4196
640.137, 125.3505
640.869, 125.2934
641.602, 125.3458
642.334, 125.4716
643.066, 125.4309
643.799, 125.4303
644.531, 125.3844
645.264, 125.4422
645.996, 125.3828
646.729, 125.3393
647.461, 125.4071
648.193, 125.4357
648.926, 125.5855
649.658, 126.1184
650.391, 125.3711
651.123, 125.5320
651.855, 125.3991
652.588, 125.4639
653.320, 125.4347
654.053, 125.4208
654.785, 125.5183
655.518, 125.5171
656.250, 125.5776
656.982, 125.4907
657.715, 125.6405
658.447, 125.5727
659.180, 125.5885
659.912, 125.6931
660.645, 125.6607
661.377, 125.6100
662.109, 125.6398
662.842, 125.6425
663.574, 125.6407
664.307, 125.6409
665.039, 125.7187
665.771, 125.6817
666.504, 125.6775
667.236, 125.7068
667.969, 125.6504
668.701, 125.7266
669.434, 125.7709
670.166, 125.5970
670.898, 125.7353
671.631, 125.7166
672.363, 125.6321
673.096, 125.8021
673.828, 125.6611
674.561, 125.8067
675.293, 125.7795
676.025, 125.8870
676.758, 125.8247
677.490, 125.8339
678.223, 125.8271
678.955, 125.8679
679.688, 125.8968
680.420, 125.6736
681.152, 125.8727
681.885, 125.8809
682.617, 125.8137
683.350, 125.8983
684.082, 125.8796
684.814, 125.7744
685.547, 125.8884
686.279, 125.7767
687.012, 125.8569
687.744, 125.9947
688.477, 125.9811
689.209, 125.8803
689.941, 125.7089
690.674, 125.8344
691.406, 125.8669
692.139, 125.8503
692.871, 125.8799
693.604, 125.9228
694.336, 125.8833
695.068, 125.9361
695.801, 125.8793
696.533, 125.8504
697.266, 125.9488
697.998, 125.9079
698.730, 125.8155
699.463, 125.9132
700.195, 125.9763
700.928, 126.0021
701.660, 125.9335
702.393, 126.0438
703.125, 126.0273
703.857, 125.9960
704.590, 126.0276
705.322, 125.9665
706.055, 126.0726
706.787, 126.1115
707.520, 125.9726
708.252, 125.9932
708.984, 126.1080
709.717, 126.0540
710.449, 126.1008
711.182, 125.9694
711.914, 126.1902
712.646, 126.1354
713.379, 125.9976
714.111, 126.0107
714.844, 126.1303
715.576, 125.9837
716.309, 126.1252
717.041, 126.0471
717.773, 126.1320
718.506, 126.0980
719.238, 126.1086
719.971, 126.1261
720.703, 126.0923
721.436, 126.1913
722.168, 126.1746
722.900, 126.0470
723.633, 126.1800
